Pelicula,Cines
Ruega por nosotros ,"['Cines La Vaguada', 'Cinesa  Xanadú', 'Cinesa Equinoccio', 'Cinesa La Gavia', 'Cinesa La Moraleja', 'Cinesa Las Rosas', 'Cinesa Las Rozas - Heron City', 'Cinesa Loranca', 'Cinesa Manoteras', 'Cinesa Méndez Álvaro', 'Cinesa Nassica-Getafe', 'Cinesa Parquesur', 'Cinesa Príncipe Pío', 'Cinesa Proyecciones', 'Kinépolis Madrid Ciudad de la Imagen', 'Kinépolis Madrid Diversia', 'mk2 Palacio de Hielo (antiguos Cines Dreams)', 'Reston Cinema', 'Spazio Cines', 'Yelmo Cines Islazul', 'Yelmo Cines Plaza Norte 2', 'Yelmo Cines Plenilunio', 'Yelmo Cines Rivas H2O', 'Yelmo Cines Tresaguas']"
Los Estados Unidos contra Billie Holiday ,"['Cines Verdi', 'Cinesa Manoteras', 'Renoir Cines Princesa', 'Yelmo Cines Ideal']"
Digimon Adventure: Last Evolution Kizuna ,"['Cines La Vaguada', 'Yelmo Cines Ideal', 'Yelmo Cines Islazul', 'Yelmo Cines Rivas H2O']"
La última primavera ,[]
Godzilla vs. Kong ,"['Cines La Vaguada', 'Cinesa  Xanadú', 'Cinesa Equinoccio', 'Cinesa La Gavia', 'Cinesa La Moraleja', 'Cinesa Las Rosas', 'Cinesa Las Rozas - Heron City', 'Cinesa Loranca', 'Cinesa Manoteras', 'Cinesa Méndez Álvaro', 'Cinesa Nassica-Getafe', 'Cinesa Parquesur', 'Cinesa Príncipe Pío', 'Cinesa Proyecciones', 'Conde Duque Auditorio Morasol', 'Kinépolis Madrid Ciudad de la Imagen', 'Kinépolis Madrid Diversia', 'mk2 Palacio de Hielo (antiguos Cines Dreams)', 'Reston Cinema', 'Spazio Cines', 'Yelmo Cines Ideal', 'Yelmo Cines Islazul', 'Yelmo Cines Luxury Plaza Norte 2', 'Yelmo Cines Palafox', 'Yelmo Cines Planetocio', 'Yelmo Cines Plaza Norte 2', 'Yelmo Cines Plenilunio', 'Yelmo Cines Rivas H2O', 'Yelmo Cines Tresaguas']"
Nomadland ,"['Cines Embajadores', 'Cines La Vaguada', 'Cines Verdi', 'Conde Duque Auditorio Morasol', 'Conde Duque Santa Engracia', 'Conde Duque Verdi Alberto Aguilera', 'Golem', 'Renoir Cines Princesa', 'Renoir Retiro', 'Reston Cinema', 'Spazio Cines', 'Yelmo Cines Ideal', 'Yelmo Cines Islazul', 'Yelmo Cines Luxury Plaza Norte 2', 'Yelmo Cines Palafox', 'Yelmo Cines Planetocio', 'Yelmo Cines Plaza Norte 2', 'Yelmo Cines Plenilunio', 'Yelmo Cines Rivas H2O', 'Yelmo Cines Tresaguas']"
Tom y Jerry ,"['Cines La Vaguada', 'Cinesa  Xanadú', 'Cinesa Equinoccio', 'Cinesa La Gavia', 'Cinesa La Moraleja', 'Cinesa Las Rosas', 'Cinesa Las Rozas - Heron City', 'Cinesa Loranca', 'Cinesa Manoteras', 'Cinesa Méndez Álvaro', 'Cinesa Nassica-Getafe', 'Cinesa Parquesur', 'Cinesa Príncipe Pío', 'Cinesa Proyecciones', 'Conde Duque Auditorio Morasol', 'Kinépolis Madrid Ciudad de la Imagen', 'Kinépolis Madrid Diversia', 'mk2 Palacio de Hielo (antiguos Cines Dreams)', 'Reston Cinema', 'Spazio Cines', 'Yelmo Cines Islazul', 'Yelmo Cines Luxury Plaza Norte 2', 'Yelmo Cines Palafox', 'Yelmo Cines Planetocio', 'Yelmo Cines Plaza Norte 2', 'Yelmo Cines Plenilunio', 'Yelmo Cines Rivas H2O', 'Yelmo Cines Tresaguas']"
Monster Hunter ,"['Cines La Vaguada', 'Cinesa  Xanadú', 'Cinesa Equinoccio', 'Cinesa La Gavia', 'Cinesa La Moraleja', 'Cinesa Las Rosas', 'Cinesa Las Rozas - Heron City', 'Cinesa Loranca', 'Cinesa Nassica-Getafe', 'Kinépolis Madrid Ciudad de la Imagen', 'mk2 Palacio de Hielo (antiguos Cines Dreams)', 'Reston Cinema', 'Yelmo Cines Ideal', 'Yelmo Cines Islazul', 'Yelmo Cines Plenilunio', 'Yelmo Cines Rivas H2O', 'Yelmo Cines Tresaguas']"
Un efecto óptico ,"['Renoir Plaza España', 'Yelmo Cines Ideal']"
Nación ,[]
